city,aqi
Los Angeles,65
Beijing,137
London,266
Mexico City,293
Delhi,493
Cairo,28
Los Angeles,217
Los Angeles,449
Delhi,342
Beijing,279
Beijing,484
Tokyo,472
Mexico City,276
London,290
Beijing,475
Delhi,423
Mexico City,269
Delhi,475
London,34
Mexico City,234
Los Angeles,402
Beijing,164
Cairo,429
Tokyo,161
Los Angeles,385
Delhi,184
Beijing,382
Delhi,132
Delhi,169
Mexico City,470
Los Angeles,388
Cairo,263
Beijing,52
Beijing,302
Beijing,204
Delhi,34
Delhi,124
Beijing,441
Delhi,361
Mexico City,40
Beijing,378
London,257
Los Angeles,422
Beijing,432
London,347
London,52
Beijing,93
Delhi,415
Mexico City,140
Delhi,357
Delhi,265
Delhi,270
Los Angeles,326
Mexico City,167
Los Angeles,235
Los Angeles,362
Beijing,386
Mexico City,470
Delhi,93
Delhi,81
Mexico City,439
Beijing,3
Mexico City,403
Los Angeles,2
Mexico City,240
Mexico City,494
Mexico City,291
Beijing,278
Delhi,316
Beijing,253
Delhi,13
Beijing,95
London,332
Delhi,152
Delhi,185
Delhi,304
Delhi,22
Mexico City,74
Mexico City,301
Los Angeles,250
Mexico City,329
Beijing,8
London,316
Delhi,371
Delhi,491
Delhi,100
Los Angeles,398
Beijing,489
Delhi,166
Beijing,481
Delhi,278
Mexico City,46
Beijing,369
Beijing,238
Beijing,37
Mexico City,142
Beijing,254
Delhi,275
Delhi,232
Cairo,285
Tokyo,359
Mexico City,379
Delhi,251
Cairo,320
Los Angeles,418
Los Angeles,85
Beijing,189
Delhi,263
Delhi,128
Tokyo,469
Beijing,270
Delhi,16
Beijing,64
Mexico City,21
Delhi,129
London,123
Los Angeles,69
Los Angeles,382
Beijing,149
Mexico City,499
Mexico City,40
Mexico City,90
Delhi,325
Beijing,145
Delhi,422
Beijing,431
Beijing,178
Delhi,325
Delhi,223
Mexico City,155
Delhi,28
Tokyo,349
Mexico City,153
Beijing,89
Mexico City,61
Delhi,355
Cairo,190
Beijing,54
Los Angeles,281
Delhi,286
Beijing,413
Beijing,244
Tokyo,97
Mexico City,218
Beijing,363
Delhi,273
Beijing,137
Beijing,494
