city,aqi
Delhi,493
Delhi,342
Delhi,423
Delhi,475
Delhi,184
Delhi,132
Delhi,169
Delhi,34
Delhi,124
Delhi,361
Delhi,415
Delhi,357
Delhi,265
Delhi,270
Delhi,93
Delhi,81
Delhi,316
Delhi,13
Delhi,152
Delhi,185
Delhi,304
Delhi,22
Delhi,371
Delhi,491
Delhi,100
Delhi,166
Delhi,278
Delhi,275
Delhi,232
Delhi,251
Delhi,263
Delhi,128
Delhi,16
Delhi,129
Delhi,325
Delhi,422
Delhi,325
Delhi,223
Delhi,28
Delhi,355
Delhi,286
Delhi,273
Delhi,267
Delhi,375
Delhi,409
Delhi,271
Delhi,110
Delhi,393
Delhi,489
Delhi,144
Delhi,336
Delhi,222
Delhi,476
Delhi,33
Delhi,490
Delhi,252
Delhi,471
Delhi,34
Delhi,116
Delhi,479
Delhi,313
Delhi,50
Delhi,200
Delhi,450
Delhi,311
Delhi,95
Delhi,19
Delhi,251
Delhi,339
Delhi,214
Delhi,232
Delhi,262
Delhi,152
Delhi,231
Delhi,76
Delhi,492
Delhi,162
Delhi,210
Delhi,204
Delhi,491
Delhi,180
Delhi,375
Delhi,11
Delhi,233
Delhi,354
Delhi,235
Delhi,51
Delhi,55
Delhi,179
Delhi,261
Delhi,304
Delhi,398
Delhi,263
Delhi,157
Delhi,85
Delhi,446
Delhi,219
Delhi,359
Delhi,418
Delhi,55
Delhi,96
Delhi,75
Delhi,113
Delhi,180
Delhi,219
Delhi,63
Delhi,479
Delhi,13
Delhi,145
Delhi,479
Delhi,381
Delhi,225
Delhi,149
Delhi,454
Delhi,199
Delhi,30
Delhi,447
Delhi,215
Delhi,30
Delhi,144
Delhi,34
Delhi,280
Delhi,489
Delhi,392
Delhi,60
Delhi,314
Delhi,308
Delhi,475
Delhi,249
Delhi,55
Delhi,490
Delhi,368
Delhi,399
Delhi,215
Delhi,112
Delhi,438
Delhi,298
Delhi,419
Delhi,121
Delhi,285
Delhi,206
Delhi,382
Delhi,183
Delhi,50
Delhi,193
Delhi,427
Delhi,27
Delhi,470
Delhi,497
Delhi,35
Delhi,136
Delhi,388
Delhi,53
Delhi,259
Delhi,342
Delhi,38
Delhi,90
Delhi,109
Delhi,414
Delhi,155
Delhi,423
Delhi,255
Delhi,55
Delhi,320
Delhi,343
Delhi,51
Delhi,306
Delhi,465
Delhi,204
Delhi,449
Delhi,242
Delhi,135
Delhi,329
Delhi,229
Delhi,247
Delhi,395
Delhi,361
Delhi,150
Delhi,190
Delhi,245
Delhi,412
Delhi,368
Delhi,265
Delhi,101
Delhi,142
Delhi,379
Delhi,197
Delhi,408
Delhi,321
Delhi,61
Delhi,64
Delhi,198
Delhi,466
Delhi,245
Delhi,149
Delhi,161
Delhi,86
Delhi,125
Delhi,351
Delhi,171
Delhi,199
Delhi,64
Delhi,483
Delhi,299
Delhi,167
Delhi,294
Delhi,2
Delhi,14
Delhi,420
Delhi,437
Delhi,124
Delhi,33
Delhi,293
Delhi,50
Delhi,479
Delhi,310
Delhi,88
Delhi,100
Delhi,431
Delhi,171
Delhi,463
Delhi,372
Delhi,10
Delhi,374
Delhi,171
Delhi,480
Delhi,466
Delhi,459
Delhi,108
Delhi,98
Delhi,213
Delhi,365
Delhi,219
Delhi,420
Delhi,483
Delhi,117
Delhi,149
Delhi,350
Delhi,172
Delhi,117
Delhi,71
Delhi,425
Delhi,402
Delhi,66
Delhi,402
Delhi,141
Delhi,59
Delhi,350
Delhi,192
Delhi,67
Delhi,275
Delhi,33
Delhi,262
Delhi,395
Delhi,497
Delhi,174
Delhi,411
Delhi,29
Delhi,384
Delhi,261
Delhi,10
Delhi,130
Delhi,125
Delhi,491
Delhi,84
Delhi,425
Delhi,222
Delhi,137
Delhi,244
Delhi,343
Delhi,418
Delhi,77
Delhi,58
Delhi,96
Delhi,481
Delhi,10
Delhi,86
Delhi,254
Delhi,393
Delhi,152
Delhi,296
Delhi,349
Delhi,220
Delhi,291
Delhi,43
Delhi,45
Delhi,465
Delhi,50
Delhi,146
Delhi,309
Delhi,472
Delhi,198
Delhi,55
Delhi,57
Delhi,410
Delhi,95
Delhi,414
Delhi,372
Delhi,139
Delhi,328
Delhi,138
Delhi,382
Delhi,315
Delhi,365
Delhi,80
Delhi,153
Delhi,20
Delhi,24
Delhi,408
Delhi,67
Delhi,202
Delhi,284
Delhi,349
Delhi,40
Delhi,172
Delhi,435
Delhi,395
Delhi,204
Delhi,435
Delhi,381
Delhi,106
Delhi,460
Delhi,446
Delhi,292
Delhi,345
Delhi,332
Delhi,387
Delhi,127
Delhi,49
Delhi,216
Delhi,56
Delhi,443
Delhi,148
Delhi,17
Delhi,75
Delhi,494
Delhi,106
Delhi,36
Delhi,287
Delhi,379
Delhi,197
Delhi,343
Delhi,126
Delhi,290
Delhi,110
Delhi,459
Delhi,24
Delhi,14
Delhi,494
Delhi,383
Delhi,341
Delhi,376
Delhi,481
Delhi,146
Delhi,441
Delhi,273
Delhi,488
Delhi,228
Delhi,382
Delhi,446
Delhi,450
Delhi,483
Delhi,342
Delhi,177
Delhi,173
Delhi,478
Delhi,2
Delhi,10
Delhi,55
Delhi,210
Delhi,226
Delhi,342
Delhi,278
Delhi,215
Delhi,305
Delhi,154
Delhi,45
Delhi,60
Delhi,84
Delhi,307
Delhi,490
Delhi,57
Delhi,289
Delhi,353
Delhi,199
Delhi,209
Delhi,305
Delhi,269
Delhi,296
Delhi,308
Delhi,459
Delhi,45
Delhi,16
Delhi,290
Delhi,361
Delhi,316
Delhi,473
Delhi,348
Delhi,359
Delhi,384
Delhi,330
Delhi,454
Delhi,113
Delhi,37
Delhi,228
Delhi,143
Delhi,321
Delhi,228
Delhi,240
Delhi,419
Delhi,308
Delhi,428
Delhi,297
Delhi,131
Delhi,81
Delhi,247
Delhi,27
Delhi,335
Delhi,191
Delhi,203
